,Rank,Date,Team,Acquired,Relinquished,Notes
11121,11121,2007-12-09,SEA,Luke Ridnour,,activated from IL
11122,11122,2007-12-10,PHI,,Lou Williams,placed on IL with toe injury
11123,11123,2007-12-10,PHI,,Shavlik Randolph,placed on IL
11124,11124,2007-12-10,PHI,Calvin Booth,,activated from IL
11125,11125,2007-12-10,PHI,Lou Amundson,,activated from IL
11126,11126,2007-12-10,NYK,Randolph Morris,,activated from IL
11127,11127,2007-12-11,CLE,,Daniel Gibson,placed on IL with removal of wisdom teeth
11128,11128,2007-12-11,CLE,Anderson Varejão,,activated from IL
11129,11129,2007-12-11,MEM,,Andre Brown,placed on IL
11130,11130,2007-12-11,MEM,Stromile Swift,,activated from IL
11131,11131,2007-12-11,IND,,David Harrison,placed on IL with back injury
11132,11132,2007-12-11,IND,Travis Diener,,activated from IL
11133,11133,2007-12-11,TOR,,Maceo Baston,placed on IL
11134,11134,2007-12-11,TOR,Andrea Bargnani,,activated from IL
11135,11135,2007-12-11,MIN,,Greg Buckner,placed on IL with strained right calf
11136,11136,2007-12-11,MIN,Antoine Walker,,activated from IL
11137,11137,2007-12-11,GSW,,Patrick O'Bryant,placed on IL
11138,11138,2007-12-11,GSW,Marco Belinelli,,activated from IL
11139,11139,2007-12-12,PHI,,Rodney Carney,placed on IL with flu
11140,11140,2007-12-12,PHI,Lou Williams,,activated from IL
11141,11141,2007-12-12,ORL,,Carlos Arroyo,placed on IL with sore left foot
11142,11142,2007-12-12,ORL,Pat Garrity,,activated from IL
11143,11143,2007-12-12,DAL,,Devin Harris,placed on IL with stomach virus
11144,11144,2007-12-12,DAL,,Maurice Ager,placed on IL with stomach flu
11145,11145,2007-12-12,DAL,Eddie Jones,,activated from IL
11146,11146,2007-12-12,DAL,J.J. Barea,,activated from IL
11147,11147,2007-12-12,IND,,Jeff Foster,placed on IL with back spasms
11148,11148,2007-12-12,IND,,Stephen Graham,placed on IL
11149,11149,2007-12-12,IND,David Harrison,,activated from IL
11150,11150,2007-12-12,TOR,,T.J. Ford,placed on IL with head & neck injury
11151,11151,2007-12-12,TOR,Darrick Martin,,activated from IL
11152,11152,2007-12-12,HOU,,Carl Landry,placed on IL
11153,11153,2007-12-12,HOU,Rafer Alston,,activated from IL
11154,11154,2007-12-12,GSW,,Monta Ellis,placed on IL with strained left thigh
11155,11155,2007-12-12,GSW,Brandan Wright,,activated from IL
11156,11156,2007-12-13,MIA,,Earl Barron,placed on IL
11157,11157,2007-12-13,MIA,Jason Williams,,activated from IL
11158,11158,2007-12-13,SAS,,Tim Duncan,placed on IL with sprained right ankle (bruised right knee per CBC)
11159,11159,2007-12-13,SAS,Darius Washington,,activated from IL
11160,11160,2007-12-14,CHA,Jermareo Davidson,,activated from IL
11161,11161,2007-12-14,CLE,,Dwayne Jones,placed on IL
11162,11162,2007-12-14,CLE,Daniel Gibson,,activated from IL
11163,11163,2007-12-14,BOS,,Ray Allen,placed on IL with sore right ankle
11164,11164,2007-12-14,BOS,Gabe Pruitt,,activated from IL
11165,11165,2007-12-14,MEM,,Pau Gasol,placed on IL with jammed right big toe
11166,11166,2007-12-14,MEM,Andre Brown,,activated from IL
11167,11167,2007-12-14,ATL,,Josh Childress,placed on IL with strained right groin
11168,11168,2007-12-14,ATL,Zaza Pachulia,,activated from IL
11169,11169,2007-12-14,NOH,Ryan Bowen,,activated from IL
11170,11170,2007-12-14,UTA,Kyrylo Fesenko,,activated from IL
11171,11171,2007-12-14,NYK,,Quentin Richardson,placed on IL with strained right knee
11172,11172,2007-12-14,NYK,Malik Rose,,activated from IL
11173,11173,2007-12-14,DAL,,J.J. Barea,placed on IL
11174,11174,2007-12-14,DAL,Devin Harris,,activated from IL
11175,11175,2007-12-14,IND,,Courtney Sims,placed on IL
11176,11176,2007-12-14,IND,Jeff Foster,,activated from IL
11177,11177,2007-12-14,GSW,,Brandan Wright,placed on IL
11178,11178,2007-12-14,GSW,Monta Ellis,,activated from IL
11179,11179,2007-12-15,CLE,,Daniel Gibson,placed on IL with sore mouth (flu per CBC)
11180,11180,2007-12-15,CLE,Dwayne Jones,,activated from IL
11181,11181,2007-12-15,UTA,,Mehmet Okur,placed on IL with strained left trapezius muscle
11182,11182,2007-12-15,NYK,,Randolph Morris,placed on IL
11183,11183,2007-12-15,NYK,Quentin Richardson,,activated from IL
11184,11184,2007-12-15,ORL,,Rashard Lewis,placed on IL with neck spasms
11185,11185,2007-12-15,ORL,Marcin Gortat,,activated from IL
11186,11186,2007-12-15,IND,,Travis Diener,placed on IL
11187,11187,2007-12-15,IND,Ike Diogu,,activated from IL
11188,11188,2007-12-15,HOU,,Rafer Alston,placed on IL with strained groin
11189,11189,2007-12-15,HOU,Aaron Brooks,,activated from IL
11190,11190,2007-12-15,SAS,,Tony Parker,placed on IL with sprained left ankle / right ankle
11191,11191,2007-12-15,SAS,Tim Duncan,,activated from IL
11192,11192,2007-12-16,DET,,Walter Herrmann,placed on IL
11193,11193,2007-12-16,GSW,,Troy Hudson,placed on IL
11194,11194,2007-12-16,GSW,Brandan Wright,,activated from IL
11195,11195,2007-12-17,CLE,,Dwayne Jones,placed on IL
11196,11196,2007-12-17,CLE,Daniel Gibson,,activated from IL
11197,11197,2007-12-17,NYK,,Wilson Chandler,placed on IL
11198,11198,2007-12-17,ORL,Rashard Lewis,,activated from IL
11199,11199,2007-12-17,SAS,,Francisco Elson,placed on IL with sprained right ankle
11200,11200,2007-12-17,SAS,Tony Parker,,activated from IL
11201,11201,2007-12-18,NJN,Marcus Williams,,activated
11202,11202,2007-12-19,MIL,,Charlie Villanueva,placed on IL with sprained right ankle
11203,11203,2007-12-19,MIL,Michael Ruffin,,activated from IL
11204,11204,2007-12-19,CHI,,Ben Wallace,placed on IL with bone spur in left foot
11205,11205,2007-12-19,CHI,Viktor Khryapa,,activated from IL
11206,11206,2007-12-19,CLE,,Shannon Brown,placed on IL
11207,11207,2007-12-19,CLE,Dwayne Jones,,activated from IL
11208,11208,2007-12-19,BOS,,Gabe Pruitt,placed on IL
11209,11209,2007-12-19,BOS,Ray Allen,,activated from IL
11210,11210,2007-12-19,MIA,,Jason Williams,placed on IL with hyperextended left knee
11211,11211,2007-12-19,MIA,Earl Barron,,activated from IL
11212,11212,2007-12-19,NOH,,Ryan Bowen,placed on IL with sprained left knee
11213,11213,2007-12-19,IND,,Jamaal Tinsley,placed on IL with bruised left thigh
11214,11214,2007-12-19,IND,Travis Diener,,activated from IL
11215,11215,2007-12-19,HOU,,Steve Francis,placed on IL with flu
11216,11216,2007-12-19,HOU,Rafer Alston,,activated from IL
11217,11217,2007-12-20,MIA,,Alexander Johnson,placed on IL
11218,11218,2007-12-20,MIA,,Alonzo Mourning,placed on IL with torn patellar tendon in right knee
11219,11219,2007-12-20,MIA,Jason Williams,,activated from IL
11220,11220,2007-12-20,MIA,Joel Anthony,,activated from IL
11221,11221,2007-12-20,DEN,Chucky Atkins,,activated from IL
11222,11222,2007-12-20,HOU,,Tracy McGrady,placed on IL with sore left knee
11223,11223,2007-12-20,HOU,Steve Novak,,activated from IL
11224,11224,2007-12-21,PHI,,Lou Williams,placed on IL with toe injury
11225,11225,2007-12-21,PHI,Rodney Carney,,activated from IL
11226,11226,2007-12-21,MEM,,Brian Cardinal,placed on IL
11227,11227,2007-12-21,MEM,Pau Gasol,,activated from IL
11228,11228,2007-12-21,ATL,,Salim Stoudamire,placed on IL
11229,11229,2007-12-21,ATL,Josh Childress,,activated from IL
11230,11230,2007-12-21,UTA,Mehmet Okur,,activated from IL
11231,11231,2007-12-21,NYK,Wilson Chandler,,activated from IL
11232,11232,2007-12-21,ORL,,Brian Cook,placed on IL
11233,11233,2007-12-21,ORL,Carlos Arroyo,,activated from IL
11234,11234,2007-12-21,DEN,,Kenyon Martin,placed on IL with hamstring injury
11235,11235,2007-12-21,IND,,David Harrison,placed on IL with back spasms
11236,11236,2007-12-21,IND,Jamaal Tinsley,,activated from IL
11237,11237,2007-12-21,DET,,Ronald Murray,placed on IL
11238,11238,2007-12-21,DET,Rodney Stuckey,,activated from IL
11239,11239,2007-12-21,WAS,,Gilbert Arenas,placed on IL recovering from surgery on left knee
11240,11240,2007-12-22,PHI,,Willie Green,placed on IL with left hip/groin injury (DTD)
11241,11241,2007-12-22,PHI,Lou Williams,,activated from IL
11242,11242,2007-12-22,MIL,,Desmond Mason,placed on IL recovering from surgery on left thumb to repair torn ligament
11243,11243,2007-12-22,MIL,Charlie Villanueva,,activated from IL
11244,11244,2007-12-22,CHI,,Viktor Khryapa,placed on IL
11245,11245,2007-12-22,CHI,Ben Wallace,,activated from IL
11246,11246,2007-12-22,LAC,,Paul Davis,placed on IL with torn ACL in right knee
11247,11247,2007-12-22,LAC,Sam Cassell,,activated from IL
11248,11248,2007-12-22,MIA,,Chris Quinn,placed on IL with sprained left ankle
11249,11249,2007-12-22,MIA,Alexander Johnson,,activated from IL
11250,11250,2007-12-22,HOU,,Steve Novak,placed on IL
11251,11251,2007-12-22,HOU,Tracy McGrady,,activated from IL
11252,11252,2007-12-22,SAS,,Darius Washington,placed on IL
11253,11253,2007-12-22,SAS,Francisco Elson,,activated from IL
11254,11254,2007-12-23,CLE,,Dwayne Jones,placed on IL
11255,11255,2007-12-23,CLE,Shannon Brown,,activated from IL
11256,11256,2007-12-23,GSW,,Austin Croshere,placed on IL with strained lower back
11257,11257,2007-12-23,GSW,Patrick O'Bryant,,activated from IL
11258,11258,2007-12-25,LAL,,Luke Walton,placed on IL with sprained right ankle
11259,11259,2007-12-25,LAL,Coby Karl,,activated from IL
11260,11260,2007-12-25,SEA,Delonte West,,activated from IL
11261,11261,2007-12-26,DEN,,Jelani McCoy,placed on IL
11262,11262,2007-12-26,DEN,,Von Wafer,placed on IL
11263,11263,2007-12-26,DEN,Kenyon Martin,,activated from IL
11264,11264,2007-12-26,DEN,Dario Šarić,,activated from IL
11265,11265,2007-12-26,IND,,Marquis Daniels,placed on IL with respiratory infection
11266,11266,2007-12-26,IND,Stephen Graham,,activated from IL
11267,11267,2007-12-26,MIN,,Michael Doleac,placed on IL
11268,11268,2007-12-26,MIN,Greg Buckner,,activated from IL
11269,11269,2007-12-28,LAL,,Coby Karl,placed on IL
11270,11270,2007-12-28,LAL,Kwame Brown,,activated from IL
11271,11271,2007-12-28,DEN,,Kenyon Martin,placed on IL with hamstring injury
11272,11272,2007-12-28,DEN,Von Wafer,,activated from IL
11273,11273,2007-12-28,IND,,Stephen Graham,placed on IL
11274,11274,2007-12-28,IND,Marquis Daniels,,activated from IL
11275,11275,2007-12-28,DET,,Lindsey Hunter,placed on IL
11276,11276,2007-12-28,DET,Walter Herrmann,,activated from IL
11277,11277,2007-12-28,TOR,,Darrick Martin,placed on IL
11278,11278,2007-12-28,TOR,Maceo Baston,,activated from IL
11279,11279,2007-12-28,HOU,,Tracy McGrady,placed on IL with sore left knee
11280,11280,2007-12-28,HOU,Steve Francis,,activated from IL
11281,11281,2007-12-28,SAS,,Brent Barry,placed on IL with torn plantaris muscle in left calf
11282,11282,2007-12-28,SAS,,Manu Ginóbili,placed on IL with sprained left index finger
11283,11283,2007-12-28,MIN,,Mark Madsen,placed on IL
11284,11284,2007-12-28,MIN,Michael Doleac,,activated from IL
11285,11285,2007-12-29,CLE,,Shannon Brown,placed on IL
11286,11286,2007-12-29,CLE,Dwayne Jones,,activated from IL
11287,11287,2007-12-29,UTA,,Kyrylo Fesenko,placed on IL
11288,11288,2007-12-29,ORL,,Jameer Nelson,placed on IL with strained back
11289,11289,2007-12-29,ORL,Brian Cook,,activated from IL
11290,11290,2007-12-29,IND,,Jamaal Tinsley,placed on IL with hamstring injury
11291,11291,2007-12-29,IND,Stephen Graham,,activated from IL
11292,11292,2007-12-30,BOS,,Rajon Rondo,placed on IL with sore right hamstring
11293,11293,2007-12-30,BOS,Gabe Pruitt,,activated from IL
11294,11294,2007-12-30,MEM,,Jeremy Richardson,placed on IL
11295,11295,2007-12-30,MEM,Mike Conley,,activated from IL
11296,11296,2007-12-30,NYK,,Jamal Crawford,placed on IL with bruised right hand
11297,11297,2007-12-30,NYK,Randolph Morris,,activated from IL
11298,11298,2007-12-30,LAL,,Chris Mihm,placed on IL
11299,11299,2007-12-30,LAL,Luke Walton,,activated from IL
11300,11300,2007-12-31,ORL,,Pat Garrity,placed on IL
11301,11301,2007-12-31,ORL,Jameer Nelson,,activated from IL
11302,11302,2007-12-31,HOU,,Steve Francis,placed on IL with bilateral quadricep tendinitis
11303,11303,2007-12-31,HOU,Carl Landry,,activated from IL
11304,11304,2007-12-31,HOU,Steve Novak,,activated from IL
11305,11305,2008-01-02,CLE,,Ira Newble,placed on IL with flu
11306,11306,2008-01-02,CLE,Shannon Brown,,activated from IL
11307,11307,2008-01-02,BOS,,Gabe Pruitt,placed on IL
11308,11308,2008-01-02,BOS,Rajon Rondo,,activated from IL
11309,11309,2008-01-02,MEM,,Damon Stoudamire,placed on IL
11310,11310,2008-01-02,MEM,Jeremy Richardson,,activated from IL
11311,11311,2008-01-02,ATL,,Solomon Jones,placed on IL
11312,11312,2008-01-02,ATL,Tyronn Lue,,activated from IL
11313,11313,2008-01-02,MIA,,Dorell Wright,placed on IL with sprained ankle
11314,11314,2008-01-02,MIA,Chris Quinn,,activated from IL
11315,11315,2008-01-02,NYK,,Mardy Collins,placed on IL
11316,11316,2008-01-02,NYK,,Randolph Morris,placed on IL
11317,11317,2008-01-02,NYK,Jamal Crawford,,activated from IL
11318,11318,2008-01-02,NJN,,Antoine Wright,placed on IL
11319,11319,2008-01-03,CHI,,Thabo Sefolosha,placed on IL
11320,11320,2008-01-03,CHI,Viktor Khryapa,,activated from IL
11321,11321,2008-01-04,PHI,,Lou Amundson,placed on IL
11322,11322,2008-01-04,PHI,Willie Green,,activated from IL
11323,11323,2008-01-04,NOH,,Melvin Ely,placed on IL with fractured left eye socket
11324,11324,2008-01-04,NOH,Ryan Bowen,,activated from IL
11325,11325,2008-01-04,LAL,,Vladimir Radmanović,placed on IL with sprained right ankle
11326,11326,2008-01-04,LAL,Coby Karl,,activated from IL
11327,11327,2008-01-04,DAL,,Erick Dampier,placed on IL with sore left knee
11328,11328,2008-01-04,DAL,J.J. Barea,,activated from IL
11329,11329,2008-01-04,DEN,,Von Wafer,placed on IL
11330,11330,2008-01-04,DEN,Kenyon Martin,,activated from IL
11331,11331,2008-01-04,IND,,Stephen Graham,placed on IL
11332,11332,2008-01-04,IND,David Harrison,,activated from IL
11333,11333,2008-01-05,CHI,,Luol Deng,placed on IL with left Achilles tendinitis
11334,11334,2008-01-05,CHI,Thabo Sefolosha,,activated from IL
11335,11335,2008-01-06,PHI,,Rodney Carney,placed on IL
11336,11336,2008-01-06,PHI,Lou Amundson,,activated from IL
11337,11337,2008-01-06,CLE,,Shannon Brown,placed on IL
11338,11338,2008-01-06,CLE,Ira Newble,,activated from IL
11339,11339,2008-01-06,DAL,,Jerry Stackhouse,placed on IL with sprained right thumb
11340,11340,2008-01-06,DAL,Maurice Ager,,activated from IL
11341,11341,2008-01-06,SAS,,Keith Langford,placed on IL
11342,11342,2008-01-06,SAS,Manu Ginóbili,,activated from IL
11343,11343,2008-01-06,MIN,,Michael Doleac,placed on IL
11344,11344,2008-01-06,MIN,Mark Madsen,,activated from IL
11345,11345,2008-01-07,DEN,Von Wafer,,activated from IL
11346,11346,2008-01-07,SAS,,Keith Langford,waived
11347,11347,2008-01-07,SAS,Brent Barry,,activated from IL
11348,11348,2008-01-07,GSW,Austin Croshere,,activated from IL
11349,11349,2008-01-08,CLE,,Ira Newble,placed on IL
11350,11350,2008-01-08,CLE,Shannon Brown,,activated from IL
11351,11351,2008-01-08,MEM,Brian Cardinal,,activated from IL
11352,11352,2008-01-08,MIA,,Shaquille O'Neal,placed on IL with left hip bursitis
11353,11353,2008-01-08,MIA,Dorell Wright,,activated from IL
11354,11354,2008-01-08,UTA,,Andrei Kirilenko,placed on IL with lower back inflammation
11355,11355,2008-01-08,UTA,Morris Almond,,activated from IL
11356,11356,2008-01-08,NJN,Antoine Wright,,activated from IL
11357,11357,2008-01-08,IND,,Travis Diener,placed on IL
11358,11358,2008-01-08,IND,Jamaal Tinsley,,activated from IL
11359,11359,2008-01-09,POR,Taurean Green,,activated from IL
11360,11360,2008-01-09,BOS,,Ray Allen,placed on IL with pinched nerve in neck
11361,11361,2008-01-09,BOS,Gabe Pruitt,,activated from IL
11362,11362,2008-01-09,ATL,,Zaza Pachulia,placed on IL with sore toe
11363,11363,2008-01-09,ATL,Solomon Jones,,activated from IL
11364,11364,2008-01-09,NOH,,Rasual Butler,placed on IL with illness
11365,11365,2008-01-09,NOH,Melvin Ely,,activated from IL
11366,11366,2008-01-09,DAL,,J.J. Barea,placed on IL
11367,11367,2008-01-09,DAL,,Maurice Ager,placed on IL
11368,11368,2008-01-09,DAL,Erick Dampier,,activated from IL
11369,11369,2008-01-09,DAL,Jerry Stackhouse,,activated from IL
11370,11370,2008-01-09,IND,,Jermaine O'Neal,placed on IL with sore left knee
11371,11371,2008-01-09,IND,Travis Diener,,activated from IL
11372,11372,2008-01-09,GSW,,Patrick O'Bryant,placed on IL
11373,11373,2008-01-10,MEM,,Brian Cardinal,placed on IL
11374,11374,2008-01-10,MEM,,Casey Jacobsen,placed on IL
11375,11375,2008-01-10,MEM,Damon Stoudamire,,activated from IL
11376,11376,2008-01-10,UTA,,Ronnie Price,placed on IL with sprained left ankle
11377,11377,2008-01-10,UTA,Andrei Kirilenko,,activated from IL
11378,11378,2008-01-10,DET,,Amir Johnson,placed on IL
11379,11379,2008-01-10,DET,Lindsey Hunter,,activated from IL
11380,11380,2008-01-10,SAS,,Brent Barry,placed on IL with torn left calf muscle
11381,11381,2008-01-10,PHO,D.J. Strawberry,,activated from IL
11382,11382,2008-01-11,CHI,,Joakim Noah,placed on IL
11383,11383,2008-01-11,CHI,Demetris Nichols,,activated from IL
11384,11384,2008-01-11,BOS,,Gabe Pruitt,placed on IL
11385,11385,2008-01-11,BOS,Ray Allen,,activated from IL
11386,11386,2008-01-11,MEM,,Andre Brown,placed on IL
11387,11387,2008-01-11,MEM,Casey Jacobsen,,activated from IL
11388,11388,2008-01-11,NOH,,Julian Wright,placed on IL
11389,11389,2008-01-11,NOH,Rasual Butler,,activated from IL
11390,11390,2008-01-11,DEN,,Chucky Atkins,placed on IL
11391,11391,2008-01-11,DEN,Steven Hunter,,activated from IL
11392,11392,2008-01-11,TOR,,Maceo Baston,placed on IL
11393,11393,2008-01-11,TOR,Darrick Martin,,activated from IL
11394,11394,2008-01-11,HOU,,Bonzi Wells,placed on IL with strained left shoulder
11395,11395,2008-01-11,MIN,,Mark Madsen,placed on IL
11396,11396,2008-01-11,MIN,Michael Doleac,,activated from IL
11397,11397,2008-01-11,GSW,,Marco Belinelli,placed on IL
11398,11398,2008-01-11,GSW,Patrick O'Bryant,,activated from IL
11399,11399,2008-01-12,CLE,,Shannon Brown,placed on IL
11400,11400,2008-01-12,CLE,Ira Newble,,activated from IL
11401,11401,2008-01-12,BOS,,Rajon Rondo,placed on IL with sore lower back
11402,11402,2008-01-12,BOS,Gabe Pruitt,,activated from IL
11403,11403,2008-01-12,DAL,J.J. Barea,,activated from IL
11404,11404,2008-01-12,IND,,Ike Diogu,placed on IL
11405,11405,2008-01-12,IND,Jermaine O'Neal,,activated from IL
11406,11406,2008-01-12,DET,,Lindsey Hunter,placed on IL
11407,11407,2008-01-12,DET,Amir Johnson,,activated from IL
11408,11408,2008-01-12,MIN,,Chris Richard,placed on IL
11409,11409,2008-01-12,MIN,Mark Madsen,,activated from IL
11410,11410,2008-01-13,CHI,,Demetris Nichols,placed on IL
11411,11411,2008-01-13,CHI,Luol Deng,,activated from IL
11412,11412,2008-01-13,NYK,,Stephon Marbury,placed on IL with sore left ankle
11413,11413,2008-01-13,NYK,Mardy Collins,,activated from IL
11414,11414,2008-01-13,HOU,,Kirk Snyder,placed on IL
11415,11415,2008-01-13,HOU,Bonzi Wells,,activated from IL
11416,11416,2008-01-14,DAL,,Jerry Stackhouse,placed on IL with strained right hamstring
11417,11417,2008-01-15,CHI,,Kirk Hinrich,placed on IL with back spasms
11418,11418,2008-01-15,CHI,Joakim Noah,,activated from IL
11419,11419,2008-01-16,MIL,,Mo Williams,placed on IL with stomach flu / dehydration
11420,11420,2008-01-16,MIL,David Noel,,activated from IL
11421,11421,2008-01-16,MIA,,Joel Anthony,placed on IL
11422,11422,2008-01-16,MIA,Shaquille O'Neal,,activated from IL
11423,11423,2008-01-16,SAC,,Dahntay Jones,placed on IL
11424,11424,2008-01-16,SAC,Mike Bibby,,activated from IL
11425,11425,2008-01-16,IND,,Jamaal Tinsley,placed on IL with sore left knee
11426,11426,2008-01-16,IND,Stephen Graham,,activated from IL
11427,11427,2008-01-17,UTA,,Morris Almond,placed on IL
11428,11428,2008-01-17,UTA,Ronnie Price,,activated from IL
11429,11429,2008-01-17,LAL,,Andrew Bynum,placed on IL with dislocated left knee cap
11430,11430,2008-01-17,LAL,Vladimir Radmanović,,activated from IL
11431,11431,2008-01-17,SAS,,Jeremy Richardson,placed on IL
11432,11432,2008-01-17,SAS,Brent Barry,,activated from IL
11433,11433,2008-01-18,MEM,,Casey Jacobsen,placed on IL
11434,11434,2008-01-18,MEM,,Rudy Gay,placed on IL with flu-like symptoms
11435,11435,2008-01-18,MEM,Andre Brown,,activated from IL
11436,11436,2008-01-18,MEM,Brian Cardinal,,activated from IL
11437,11437,2008-01-18,SAC,,Justin Williams,placed on IL
11438,11438,2008-01-18,SAC,Dahntay Jones,,activated from IL
11439,11439,2008-01-18,NYK,,Wilson Chandler,placed on IL
11440,11440,2008-01-18,NYK,Jerome James,,activated from IL
11441,11441,2008-01-18,MIN,,Michael Doleac,placed on IL with flu
11442,11442,2008-01-18,MIN,Chris Richard,,activated from IL
11443,11443,2008-01-18,GSW,,Austin Croshere,placed on IL with sore back
11444,11444,2008-01-18,GSW,Marco Belinelli,,activated from IL
11445,11445,2008-01-19,MIL,,Bobby Simmons,placed on IL with sprained neck
11446,11446,2008-01-19,MIL,Mo Williams,,activated from IL
11447,11447,2008-01-19,CHI,,Luol Deng,placed on IL with sore left Achilles tendon
11448,11448,2008-01-19,CHI,Kirk Hinrich,,activated from IL
11449,11449,2008-01-19,MEM,,Brian Cardinal,placed on IL
11450,11450,2008-01-19,MEM,,Mike Miller,placed on IL with back spasms
11451,11451,2008-01-19,MEM,Casey Jacobsen,,activated from IL
11452,11452,2008-01-19,MEM,Rudy Gay,,activated from IL
11453,11453,2008-01-19,ORL,,Jameer Nelson,placed on IL with strained tendon in foot
11454,11454,2008-01-19,ORL,Pat Garrity,,activated from IL
11455,11455,2008-01-19,DAL,,Juwan Howard,placed on IL
11456,11456,2008-01-19,DAL,Jerry Stackhouse,,activated from IL
11457,11457,2008-01-19,IND,,Jermaine O'Neal,placed on IL with bruised left knee
11458,11458,2008-01-19,IND,Ike Diogu,,activated from IL
11459,11459,2008-01-19,IND,Jamaal Tinsley,,activated from IL
11460,11460,2008-01-19,HOU,,Steve Novak,placed on IL
11461,11461,2008-01-19,HOU,Tracy McGrady,,activated from IL
11462,11462,2008-01-19,GSW,,Mickaël Piétrus,placed on IL with nose injury
11463,11463,2008-01-19,GSW,Kosta Perović,,activated from IL
11464,11464,2008-01-21,MIL,,David Noel,placed on IL
11465,11465,2008-01-21,MIL,Bobby Simmons,,activated from IL
11466,11466,2008-01-21,CHI,,Chris Duhon,placed on IL with bruised left knee
11467,11467,2008-01-21,CHI,Luol Deng,,activated from IL
11468,11468,2008-01-21,CLE,,Ira Newble,placed on IL
11469,11469,2008-01-21,CLE,Shannon Brown,,activated from IL
11470,11470,2008-01-21,BOS,,James Posey,placed on IL with hand injury
11471,11471,2008-01-21,BOS,Rajon Rondo,,activated from IL
11472,11472,2008-01-21,MEM,,Casey Jacobsen,placed on IL
11473,11473,2008-01-21,MEM,Mike Miller,,activated from IL
11474,11474,2008-01-21,ATL,,Lorenzen Wright,placed on IL
11475,11475,2008-01-21,ATL,,Solomon Jones,placed on IL
11476,11476,2008-01-21,ATL,Salim Stoudamire,,activated from IL
11477,11477,2008-01-21,ATL,Zaza Pachulia,,activated from IL
11478,11478,2008-01-21,NOH,,Bobby Jackson,placed on IL with strained right hamstring
11479,11479,2008-01-21,NOH,Julian Wright,,activated from IL
11480,11480,2008-01-21,LAL,,Trevor Ariza,placed on IL with broken right foot
11481,11481,2008-01-21,IND,,Andre Owens,placed on IL
11482,11482,2008-01-21,SAS,,Robert Horry,placed on IL
11483,11483,2008-01-21,SAS,Jeremy Richardson,,activated from IL
11484,11484,2008-01-21,GSW,,Marco Belinelli,placed on IL
11485,11485,2008-01-21,GSW,Mickaël Piétrus,,activated from IL
11486,11486,2008-01-22,SAC,,Kenny Thomas,placed on IL
11487,11487,2008-01-22,SAC,Justin Williams,,activated from IL
11488,11488,2008-01-23,CHI,,Luol Deng,placed on IL with left Achilles tendinitis
11489,11489,2008-01-23,CHI,Demetris Nichols,,activated from IL
11490,11490,2008-01-23,CLE,,Shannon Brown,placed on IL
11491,11491,2008-01-23,CLE,Ira Newble,,activated from IL
11492,11492,2008-01-23,ATL,,Zaza Pachulia,placed on IL
11493,11493,2008-01-23,ATL,Solomon Jones,,activated from IL
11494,11494,2008-01-23,DAL,,Brandon Bass,placed on IL with sore right foot
11495,11495,2008-01-23,DAL,Juwan Howard,,activated from IL
11496,11496,2008-01-23,IND,,Troy Murphy,placed on IL with sore left knee
11497,11497,2008-01-23,IND,Andre Owens,,activated from IL
11498,11498,2008-01-23,HOU,,Mike James,placed on IL
11499,11499,2008-01-23,HOU,Steve Novak,,activated from IL
11500,11500,2008-01-23,SAS,,Jeremy Richardson,placed on IL
11501,11501,2008-01-23,SAS,Robert Horry,,activated from IL
11502,11502,2008-01-24,MIA,,Shaquille O'Neal,placed on IL with sore left hip & leg
11503,11503,2008-01-24,MIA,Joel Anthony,,activated from IL
11504,11504,2008-01-24,IND,,Jamaal Tinsley,placed on IL with sore left knee
11505,11505,2008-01-24,IND,Troy Murphy,,activated from IL
11506,11506,2008-01-24,GSW,,Kosta Perović,placed on IL
11507,11507,2008-01-24,GSW,Marco Belinelli,,activated from IL
11508,11508,2008-01-25,CHI,,Ben Gordon,placed on IL with sore right wrist
11509,11509,2008-01-25,CHI,Chris Duhon,,activated from IL
11510,11510,2008-01-25,CLE,,Sasha Danilović,placed on IL with sprained left foot
11511,11511,2008-01-25,CLE,Donyell Marshall,,activated from IL
11512,11512,2008-01-25,MEM,,Pau Gasol,placed on IL with sore back
11513,11513,2008-01-25,MEM,,Stromile Swift,placed on IL with sore ankle
11514,11514,2008-01-25,MEM,Brian Cardinal,,activated from IL
11515,11515,2008-01-25,MEM,Casey Jacobsen,,activated from IL
11516,11516,2008-01-25,ATL,,Solomon Jones,placed on IL
11517,11517,2008-01-25,ATL,Zaza Pachulia,,activated from IL
11518,11518,2008-01-25,NYK,,Fred Jones,placed on IL with flu-like symptoms
11519,11519,2008-01-25,NYK,Wilson Chandler,,activated from IL
11520,11520,2008-01-25,DAL,,Jerry Stackhouse,placed on IL with strained right hamstring
11521,11521,2008-01-25,DAL,Brandon Bass,,activated from IL
11522,11522,2008-01-26,SAS,,Brent Barry,placed on IL with torn left calf muscle
11523,11523,2008-01-26,SAS,Jeremy Richardson,,activated from IL
11524,11524,2008-01-27,BOS,,Scot Pollard,placed on IL
11525,11525,2008-01-27,BOS,James Posey,,activated from IL
11526,11526,2008-01-27,HOU,,Yao Ming,placed on IL with upper respiratory infection
11527,11527,2008-01-27,HOU,Mike James,,activated from IL
11528,11528,2008-01-27,PHO,,Grant Hill,placed on IL with back spasms
11529,11529,2008-01-27,PHO,Alando Tucker,,activated from IL
