,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Draft Pick,Rating,Team
327,JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State,51,0,n
328,Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University,0,0,n
329,Seth Curry,2014,2025,G,6-1,185,"August 23, 1990","Liberty, Duke",0,0,n
330,Stephen Curry,2010,2025,G,6-2,185,"March 14, 1988",Davidson,7,0,n
331,Rastko Cvetković,1996,1996,C,7-1,260,"June 22, 1970",,0,0,n
1,Tristan Da Silva,2025,2025,F,6-8,217,"May 15, 2001",Colorado,18,0,n
3,Pacome Dadiet,2025,2025,F,6-7,210,"July 27, 2005",,25,0,n
5,Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",San Francisco,7,0,n
6,Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall,26,0,n
8,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State,10,0,n
11,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green,4,0,n
12,Dyson Daniels,2023,2025,G,6-8,199,"March 17, 2003",,8,0,n
13,Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",Kentucky,0,0,n
14,Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College,0,0,n
15,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn,0,0,n
17,Troy Daniels,2014,2020,G,6-4,200,"July 15, 1991",VCU,0,0,n
18,Sasha Danilović,1996,1997,G,6-5,200,"February 26, 1970",,43,0,n
19,Adrian Dantley,1977,1991,F-G,6-5,208,"February 28, 1955",Notre Dame,6,0,n
23,Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington,14,0,n
25,Nate Darling,2021,2021,G,6-6,200,"August 30, 1998","UAB, University of Delaware",0,0,n
28,Gigi Datome,2014,2015,F,6-8,215,"November 27, 1987",,0,0,n
29,Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",UNC,1,0,n
31,Kornél Dávid,1999,2001,F,6-9,235,"October 22, 1971",,0,0,n
32,Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",Alabama,36,0,n
34,Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",BYU,0,0,n
35,Anthony Davis,2013,2025,F-C,6-10,253,"March 11, 1993",Kentucky,1,0,n
36,Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",Texas-El Paso,45,0,n
38,Baron Davis,2000,2012,G,6-3,209,"April 13, 1979",UCLA,3,0,n
39,Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","Kansas, Arizona",43,0,n
42,Brad Davis,1978,1992,G,6-3,180,"December 17, 1955",Maryland,15,0,n
43,Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke,48,0,n
44,Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt,35,0,n
46,Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson,13,0,n
47,Deyonta Davis,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State,31,0,n
49,Ed Davis,2011,2022,F,6-9,218,"June 5, 1989",UNC,13,0,n
50,Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University,0,0,n
51,Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",LSU,35,0,n
53,Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",UNC,20,0,n
55,Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955",Dayton,22,0,n
56,Johnny Davis,2023,2025,G,6-5,196,"February 27, 2002",Wisconsin,10,0,n
57,Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",Wyoming,0,0,n
59,Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion,79,0,n
60,Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech",48,0,n
64,Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",Maryland,0,0,n
66,Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State,34,0,n
69,Ricky Davis,1999,2010,G-F,6-6,195,"September 23, 1979",Iowa,21,0,n
71,Terence Davis,2020,2023,G,6-4,201,"May 16, 1997",Ole Miss,0,0,n
72,Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University,0,0,n
73,Tyler Davis,2019,2019,C,6-10,266,"May 22, 1997",Texas A&M,0,0,n
75,Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954",UNC,5,0,n
78,JD Davison,2023,2025,G,6-1,195,"October 3, 2002",Alabama,53,0,n
79,Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke,0,0,n
80,Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",,5,0,n
81,Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke,10,0,n
83,Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State,56,0,n
84,Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University,0,0,n
86,Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State,0,0,n
87,Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",Arkansas,8,0,n
88,Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga,15,0,n
89,Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960",UCLA,57,0,n
90,Darius Days,2023,2023,F,6-7,245,"October 20, 1999",LSU,0,0,n
91,Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",,53,0,n
94,Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",Florida,34,0,n
95,Javin DeLaurier,2022,2022,F,6-10,237,"April 7, 1998",Duke,0,0,n
98,DeMar DeRozan,2010,2025,G-F,6-6,220,"August 7, 1989",USC,9,0,n
101,Gabriel Deck,2021,2022,F,6-8,232,"February 8, 1995",,0,0,n
102,Dewayne Dedmon,2014,2023,C,7-0,245,"August 12, 1989",USC,0,0,n
105,Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall,13,0,n
107,Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992","USC, UNLV, Iowa State",0,0,n
108,Sam Dekker,2016,2022,F,6-9,230,"May 6, 1994",Wisconsin,18,0,n
109,Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",NC State,29,0,n
110,Malcolm Delaney,2017,2018,G,6-3,190,"March 11, 1989",Virginia Tech,0,0,n
111,Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","Maryland, Arizona",10,0,n
112,Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",,25,0,n
113,Ángel Delgado,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall,0,0,n
114,Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",Kentucky,16,0,n
115,Matthew Dellavedova,2014,2023,G,6-3,200,"September 8, 1990",Saint Mary's,0,0,n
116,Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",Wyoming,30,0,n
118,Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific,0,0,n
120,Luol Deng,2005,2019,F,6-9,237,"April 16, 1985",Duke,7,0,n
121,Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke,78,0,n
123,Dexter Dennis,2024,2024,G,6-5,210,"February 9, 1999","Wichita State, Texas A&M",0,0,n
124,Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",Washington,0,0,n
127,Marcus Derrickson,2019,2019,F,6-7,249,"February 1, 1996",Georgetown,0,0,n
131,Donte DiVincenzo,2019,2025,G,6-4,203,"January 31, 1997",Villanova,17,0,n
132,Moussa Diabaté,2023,2025,F,6-11,210,"January 21, 2002",Michigan,43,0,n
133,Mamadi Diakite,2021,2024,F,6-9,228,"January 21, 1997",Virginia,0,0,n
134,Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan,52,0,n
135,Cheick Diallo,2017,2022,F,6-8,219,"September 13, 1996",Kansas,33,0,n
136,Hamidou Diallo,2019,2024,G,6-5,202,"July 31, 1998",Kentucky,45,0,n
137,Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",,21,0,n
138,Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine,0,0,n
139,Guillermo Díaz,2008,2008,G,6-2,192,"March 4, 1985",Miami (FL),52,0,n
140,Gradey Dick,2024,2025,G,6-6,205,"November 20, 2003",Kansas,13,0,n
141,Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga",28,0,n
142,Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho",50,0,n
144,Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",Arizona,14,0,n
149,Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette,38,0,n
150,Gorgui Dieng,2014,2023,C,6-10,252,"January 18, 1990",Louisville,21,0,n
151,Ousmane Dieng,2023,2025,F,6-10,222,"May 21, 2003",,11,0,n
153,Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State,155,0,n
158,Rob Dillingham,2025,2025,G,6-1,176,"January 4, 2005",Kentucky,8,0,n
160,Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",UNC Charlotte,0,0,n
164,Spencer Dinwiddie,2015,2025,G,6-5,215,"April 6, 1993",Colorado,38,0,n
165,Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State,9,0,n
166,DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",,8,0,n
169,Vlade Divac,1990,2005,C,7-1,243,"February 3, 1968",,26,0,n
170,Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",Maryland,17,0,n
172,Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",Utah,12,0,n
175,James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State,73,0,n
176,Luka Dončić,2019,2025,G-F,6-6,230,"February 28, 1999",,3,0,n
178,Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence,68,0,n
180,Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",Missouri,10,0,n
181,Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967",,0,0,n
183,Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",Memphis,33,0,n
185,Tyler Dorsey,2018,2023,G,6-5,183,"February 18, 1996",Oregon,41,0,n
186,Luguentz Dort,2020,2025,G,6-4,220,"April 19, 1999",Arizona State,0,0,n
187,Ayo Dosunmu,2022,2025,G,6-5,200,"January 17, 2000",Illinois,38,0,n
188,Damyean Dotson,2018,2022,G,6-5,210,"May 6, 1994","Oregon, Houston",44,0,n
189,Devon Dotson,2021,2023,G,6-2,185,"August 2, 1999",Kansas,0,0,n
190,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University,19,0,n
191,Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",Illinois,57,0,n
192,John Douglas,1982,1983,G,6-2,170,"June 12, 1956",Kansas,118,0,n
193,Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",Alabama,4,0,n
194,Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse,28,0,n
195,Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State",29,0,n
196,Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",Memphis,40,0,n
197,Sekou Doumbouya,2020,2022,F,6-8,230,"December 23, 2000",,15,0,n
200,Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Tech,0,0,n
203,Jeff Dowtin,2022,2025,G,6-3,185,"May 10, 1997",Rhode Island,0,0,n
205,Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola Chicago,0,0,n
206,PJ Dozier,2018,2025,G,6-6,205,"October 25, 1996",South Carolina,0,0,n
207,Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",South Carolina,0,0,n
208,Goran Dragić,2009,2023,G,6-4,190,"May 6, 1986",,45,0,n
209,Zoran Dragić,2015,2015,G-F,6-5,200,"June 22, 1989",,0,0,n
210,Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas",26,0,n
211,Henri Drell,2024,2024,G,6-9,187,"April 25, 2000",,0,0,n
212,Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso,16,0,n
213,John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University,25,0,n
214,Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",Missouri,17,0,n
215,Larry Drew II,2015,2018,G,6-2,180,"March 5, 1990","UNC, UCLA",0,0,n
216,Clyde Drexler,1984,1998,G,6-7,210,"June 22, 1962",Houston,14,0,n
217,Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo,0,0,n
219,Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",,49,0,n
221,Andre Drummond,2013,2025,C,6-11,279,"August 10, 1993",UConn,9,0,n
223,Chris Duarte,2022,2025,G,6-6,190,"June 13, 1997",Oregon,13,0,n
224,Alex Ducas,2025,2025,G-F,6-6,222,"December 11, 2000",Saint Mary's University,0,0,n
226,Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University,33,0,n
228,Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale,75,0,n
229,Jared Dudley,2008,2021,F-G,6-6,237,"July 10, 1985",Boston College,22,0,n
230,Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",Detroit Mercy,48,0,n
233,Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke,38,0,n
234,Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",Wisconsin,0,0,n
235,David Duke Jr.,2022,2025,G,6-5,205,"October 13, 1999",Providence,0,0,n
237,Joe Dumars,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University,18,0,n
239,Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State,46,0,n
240,Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City,19,0,n
242,Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest,1,0,n
243,Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",South Carolina,99,0,n
244,Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke,3,0,n
245,Kris Dunn,2017,2025,G,6-3,205,"March 18, 1994",Providence,5,0,n
247,Ryan Dunn,2025,2025,F,6-6,216,"January 7, 2003",Virginia,28,0,n
248,T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",Alabama,41,0,n
249,Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",LSU,0,0,n
250,Kevin Durant,2008,2025,F-G,6-11,240,"September 29, 1988",Texas,2,0,n
251,Jalen Duren,2023,2025,C,6-10,250,"November 18, 2003",Memphis,13,0,n
252,John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown,19,0,n
254,Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State,35,0,n
255,Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",BYU,25,0,n
257,Trevon Duval,2019,2019,G,6-2,189,"August 3, 1998",Duke,0,0,n
261,Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",UConn,0,0,n
0,Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",New Orleans,36,0,n
2,Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",Iowa,19,0,n
4,Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State,34,0,n
6,Tari Eason,2023,2025,F,6-8,216,"May 10, 2001","Cincinnati, LSU",17,0,n
7,Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","Cypress College, UCLA",72,0,n
8,Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",Louisville,55,0,n
9,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia,43,0,n
12,Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",,26,0,n
14,Jaime Echenique,2022,2022,C,6-11,258,"April 27, 1997","Trinity Valley CC, Wichita State",0,0,n
15,Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech,0,0,n
16,Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss",0,0,n
18,Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",Virginia,140,0,n
19,Zach Edey,2025,2025,C,7-4,305,"May 14, 2002",Purdue,9,0,n
22,Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue,10,0,n
23,Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973",UCLA,47,0,n
24,Anthony Edwards,2021,2025,G-F,6-4,225,"August 5, 2001",Georgia,1,0,n
25,Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University,0,0,n
26,Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University,21,0,n
27,Carsen Edwards,2020,2022,G,5-11,200,"March 12, 1998",Purdue,33,0,n
28,Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University,58,0,n
29,Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State,15,0,n
30,Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University,22,0,n
31,James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",Washington,46,0,n
32,Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana,33,0,n
33,John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University,0,0,n
34,Justin Edwards,2025,2025,G,6-6,203,"December 16, 2003",Kentucky,0,0,n
35,Kessler Edwards,2022,2025,F,6-8,215,"August 9, 2000",Pepperdine,44,0,n
36,Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul,20,0,n
37,Rob Edwards,2022,2022,G,6-5,205,"January 20, 1997","Cleveland State University, Arizona State",0,0,n
38,Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",Little Rock,0,0,n
39,Vince Edwards,2019,2019,F,6-8,225,"April 5, 1996",Purdue,52,0,n
43,Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961","Odessa College, Washington State",48,0,n
45,Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College,30,0,n
46,Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",Maryland,37,0,n
47,Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",UConn,34,0,n
49,Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College,160,0,n
50,CJ Elleby,2021,2022,F,6-6,200,"June 16, 2000",Washington State,46,0,n
52,Henry Ellenson,2017,2021,F,6-10,240,"January 13, 1997",Marquette,18,0,n
53,Wayne Ellington,2010,2022,G,6-4,207,"November 29, 1987",UNC,28,0,n
55,Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",Arizona,3,0,n
58,Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",Tennessee,9,0,n
59,Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College,0,0,n
61,Keon Ellis,2023,2025,G,6-6,175,"January 8, 2000","Florida SouthWestern State College, Alabama",0,0,n
62,LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",Notre Dame,5,0,n
63,LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse",22,0,n
65,Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",,40,0,n
66,Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",Louisville,1,0,n
67,Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",Maryland,13,0,n
68,Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",California,41,0,n
70,Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978",Fresno State,12,0,n
71,Joel Embiid,2017,2025,C,7-0,280,"March 16, 1994",Kansas,3,0,n
73,Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech,35,0,n
75,Wayne Engelstad,1989,1989,F,6-8,245,"December 6, 1965","University of California, Irvine",0,0,n
76,Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming",60,0,n
77,A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University,37,0,n
78,Alex English,1977,1991,F,6-8,190,"January 5, 1954",South Carolina,23,0,n
80,Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",South Carolina,0,0,n
81,Kim English,2013,2013,G,6-6,200,"September 24, 1988",Missouri,44,0,n
84,James Ennis III,2015,2022,F,6-6,215,"July 1, 1990",Cal State Long Beach,50,0,n
85,Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse,18,0,n
87,Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",,60,0,n
90,Julius Erving,1972,1987,F-G,6-7,210,"February 22, 1950",UMass,12,0,n
91,Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern,34,0,n
93,Vincenzo Esposito,1996,1996,G,6-3,198,"March 1, 1969",,0,0,n
94,Drew Eubanks,2019,2025,F,6-9,245,"February 1, 1997",Oregon State,0,0,n
97,Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana,27,0,n
99,Jacob Evans,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati,28,0,n
100,Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State,39,0,n
101,Jeremy Evans,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky,55,0,n
102,Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas",0,0,n
103,Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State,21,0,n
104,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",Iowa,0,0,n
105,Tyreke Evans,2010,2019,G-F,6-6,220,"September 19, 1989",Memphis,4,0,n
106,Tosan Evbuomwan,2024,2024,F,6-8,219,"February 16, 2001",Princeton,0,0,n
107,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke,32,0,n
108,Patrick Ewing,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown,1,0,n
109,Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown",43,0,n
110,Dante Exum,2015,2024,G,6-5,214,"July 13, 1995",,5,0,n
111,Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",,30,0,n
112,Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt,30,0,n
2,Tacko Fall,2020,2022,C,7-6,311,"December 10, 1995",Central Florida,0,0,n
4,Kenneth Faried,2012,2019,F-C,6-8,220,"November 19, 1989",Morehead State University,22,0,n
6,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986",UCLA,26,0,n
7,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",USC,0,0,n
8,Jim Farmer,1988,1994,G,6-4,190,"September 23, 1964",Alabama,20,0,n
10,Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970","San Jose State, Nebraska",0,0,n
12,Vítor Luiz Faverani,2014,2014,C,6-11,260,"May 5, 1988",,0,0,n
13,Derrick Favors,2011,2022,F-C,6-9,265,"July 15, 1991",Georgia Tech,3,0,n
14,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985",Nevada,34,0,n
18,Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State,48,0,n
21,Dave Feitl,1987,1992,C,6-11,235,"June 8, 1962",Texas-El Paso,43,0,n
22,Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland,54,0,n
23,Cristiano Felício,2016,2021,F-C,6-11,270,"July 7, 1992",,0,0,n
24,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State,33,0,n
25,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981",Fresno State,0,0,n
27,Raymond Felton,2006,2019,G,6-1,205,"June 26, 1984",UNC,5,0,n
30,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977","Missouri, Detroit Mercy",0,0,n
31,Terrance Ferguson,2018,2021,G-F,6-6,190,"May 17, 1998",,21,0,n
32,Rudy Fernández,2009,2012,G,6-6,185,"April 4, 1985",,24,0,n
33,Bruno Fernando,2020,2025,F,6-9,240,"August 15, 1998",Maryland,34,0,n
34,Eric Fernsten,1976,1984,C-F,6-10,205,"November 1, 1953",San Francisco,62,0,n
36,Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",Houston,26,0,n
37,Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Tech,0,0,n
38,Yogi Ferrell,2017,2021,G,6-0,178,"May 9, 1993",Indiana,0,0,n
41,Danny Ferry,1991,2003,F,6-10,230,"October 17, 1966",Duke,2,0,n
42,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",,38,0,n
44,Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962",UCLA,21,0,n
45,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford,39,0,n
47,Kyle Filipowski,2025,2025,F-C,6-11,250,"November 7, 2003",Duke,32,0,n
51,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",Wisconsin,21,0,n
53,Dorian Finney-Smith,2017,2025,F,6-7,220,"May 4, 1993",Florida,0,0,n
54,Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",UNC Wilmington,50,0,n
55,Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",Little Rock,24,0,n
57,Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",Kentucky,0,0,n
58,Malik Fitts,2021,2022,F,6-8,230,"July 4, 1997","South Florida, Saint Mary's",0,0,n
61,Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State,4,0,n
62,Adam Flagler,2024,2025,G,6-3,195,"December 1, 1999","Presbyterian College, Baylor",0,0,n
66,Vern Fleming,1985,1996,G,6-5,185,"February 4, 1962",Georgia,18,0,n
67,Luis Flores,2005,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan College",55,0,n
68,Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",Notre Dame,26,0,n
69,Trentyn Flowers,2025,2025,G-F,6-7,185,"March 8, 2005",,0,0,n
70,Sleepy Floyd,1983,1995,G,6-3,170,"March 6, 1960",Georgetown,13,0,n
71,Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse,6,0,n
72,Malachi Flynn,2021,2024,G,6-1,175,"May 10, 1998","Washington State, San Diego State",29,0,n
76,Isaac Fontaine,2002,2002,G,6-4,210,"April 16, 1975",Washington State,0,0,n
78,Simone Fontecchio,2023,2025,F,6-8,209,"December 9, 1995",,0,0,n
79,Jeff Foote,2012,2012,C,7-0,265,"July 14, 1987",Cornell,0,0,n
80,Bryn Forbes,2017,2023,G,6-2,205,"July 23, 1993",Michigan State,0,0,n
81,Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985","Virginia, UMass",0,0,n
82,Aleem Ford,2022,2022,F,6-8,220,"December 22, 1997",Wisconsin,0,0,n
83,Alphonso Ford,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University,32,0,n
84,Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",Houston,51,0,n
89,Jordan Ford,2024,2024,G,6-1,175,"May 26, 1998",Saint Mary's,0,0,n
